l_hand_min_x,l_hand_min_y,l_hand_width,l_hand_height,r_hand_min_x,r_hand_min_y,r_hand_width,r_hand_height,object_min_x,object_min_y,object_width,object_height,picture_name,grasp
1920,0,0,0,1001,682,142,64,869,576,162,250,salad16085.png,none
1920,1080,0,0,1539,608,209,259,667,243,47,131,salad09942.png,none
1171,587,118,168,1920,1080,0,0,712,351,68,142,salad11706.png,none
1326,521,101,62,0,1080,0,0,1046,267,138,272,salad04018.png,none
1118,351,182,198,1366,647,105,195,564,484,478,303,salad16039.png,none
933,373,202,197,1920,0,0,0,0,1080,0,0,salad08726.png,none
0,1080,0,0,1312,428,161,127,916,253,126,271,salad15658.png,none
754,0,141,110,0,0,0,0,1920,1080,0,0,salad08709.png,none
1167,633,169,174,1920,1080,0,0,618,286,60,148,salad11675.png,none
770,413,118,156,1420,705,146,166,1374,652,276,246,salad25512.png,none
903,0,138,135,1920,0,0,0,0,1080,0,0,salad08676.png,none
1233,635,150,94,0,0,0,0,1162,543,318,260,salad15113.png,none
1190,625,222,110,1920,1080,0,0,0,0,0,0,salad08365.png,none
1920,0,0,0,1385,672,111,178,474,495,509,307,salad16041.png,none
1231,644,153,99,0,0,0,0,1183,547,316,256,salad15110.png,none
1186,669,101,63,0,0,0,0,1105,554,122,164,salad16068.png,none
1296,793,103,77,0,0,0,0,1737,562,255,196,salad16369.png,none
1024,601,107,92,0,0,0,0,1183,677,241,237,salad07860.png,none
1115,581,125,188,1920,1080,0,0,0,0,0,0,salad11827.png,none
1920,0,0,0,1477,718,108,144,212,579,423,355,salad16049.png,none
1203,678,194,148,1920,1080,0,0,213,290,83,176,salad11633.png,none
892,599,98,101,1920,1080,0,0,101,307,105,164,salad00084.png,none
1236,628,150,97,0,0,0,0,1144,539,324,265,salad15116.png,none
1920,1080,0,0,1149,517,91,60,794,311,103,283,salad03799.png,none
0,0,0,0,1246,719,154,176,909,482,261,188,salad25485.png,none
1920,1080,0,0,1138,838,185,93,0,0,0,0,salad08611.png,none
610,0,244,210,1248,803,166,109,0,1080,0,0,salad08590.png,none
1203,713,185,121,1920,1080,0,0,357,290,69,169,salad11648.png,none
1920,1080,0,0,411,488,96,51,656,384,57,144,salad11744.png,none
847,0,135,127,0,0,0,0,1920,1080,0,0,salad08681.png,none
0,0,0,0,1201,626,162,194,975,486,253,188,salad25471.png,none
1179,606,215,105,1920,1080,0,0,0,0,0,0,salad08342.png,none
881,452,123,134,1470,694,139,157,1381,657,301,245,salad25516.png,none
1228,630,146,93,1287,724,159,72,976,513,382,283,salad15134.png,none
