hand_min_x,hand_min_y,hand_width,hand_length,object_min_x,object_min_y,object_width,object_height,picture_name,grasp
1026,463,212,203,0,0,0,0,none04492.png,none
694,514,215,162,0,0,0,0,none04849.png,none
1109,584,170,146,0,0,0,0,none03937.png,none
1325,422,133,148,0,0,0,0,none04550.png,none
849,513,120,193,0,0,0,0,none05573.png,none
791,614,213,172,0,0,0,0,none05516.png,none
898,545,166,224,93,850,75,26,none05349.png,none
716,339,218,160,0,0,0,0,none01289.png,none
708,525,118,128,0,0,0,0,none01077.png,none
1115,609,170,140,0,0,0,0,none03896.png,none
1034,387,269,161,0,0,0,0,none04617.png,none
980,369,190,190,0,0,0,0,none02314.png,none
1475,408,189,145,0,0,0,0,none02209.png,none
680,615,175,147,0,0,0,0,none00834.png,none
1444,481,197,209,0,0,0,0,none04320.png,none
1197,604,63,134,0,0,0,0,none03731.png,none
1267,405,152,181,0,0,0,0,none04377.png,none
939,360,226,250,0,0,0,0,none04662.png,none
888,700,222,138,0,0,0,0,none00152.png,none
913,392,200,178,0,0,0,0,none03058.png,none
915,484,197,160,1628,725,80,81,none03392.png,none
1394,467,175,186,0,0,0,0,none02881.png,none
805,544,122,95,0,0,0,0,none00727.png,none
1254,297,224,238,19,873,39,28,none04284.png,none
879,570,166,98,0,0,0,0,none01579.png,none
805,717,142,96,0,0,0,0,none00223.png,none
938,258,226,176,0,0,0,0,none01865.png,none
1300,476,90,125,0,0,0,0,none02945.png,none
656,462,206,191,0,0,0,0,none00820.png,none
1110,352,133,193,0,0,0,0,none02312.png,none
892,250,247,259,0,0,0,0,none03121.png,none
984,632,175,122,0,0,0,0,none03688.png,none
701,505,114,98,0,0,0,0,none00538.png,none
1139,367,260,221,0,0,0,0,none02559.png,none
1086,565,120,100,0,0,0,0,none03633.png,none
1201,164,197,231,0,0,0,0,none02742.png,none
708,547,93,135,0,0,0,0,none04946.png,none
899,684,185,143,0,0,0,0,none05505.png,none
1079,618,144,170,0,0,0,0,none03956.png,none
683,438,208,273,0,0,0,0,none04718.png,none
