l_hand_min_x,l_hand_min_y,l_hand_width,l_hand_height,r_hand_min_x,r_hand_min_y,r_hand_width,r_hand_height,object_min_x,object_min_y,object_width,object_height,picture_name,grasp
789,764,129,130,0,0,0,0,951,909,133,47,simulation07381.png,none
99,575,218,195,0,0,0,0,579,526,103,105,simulation00022.png,none
742,407,294,258,0,0,0,0,965,730,209,110,simulation08379.png,none
838,907,176,105,1185,696,136,205,1051,725,195,133,simulation08429.png,none
892,845,158,95,0,0,0,0,1562,696,84,58,simulation03874.png,none
759,810,145,118,0,0,0,0,702,815,148,59,simulation07402.png,none
0,0,0,0,1178,739,109,141,1061,681,183,128,simulation04103.png,none
0,0,0,0,1269,769,169,103,1185,941,232,144,simulation00395.png,none
944,753,203,126,1050,479,131,107,914,703,107,133,simulation00999.png,none
795,948,147,67,1118,686,150,159,1104,723,154,113,simulation08447.png,none
766,475,161,126,1269,710,170,114,1206,919,207,139,simulation00382.png,none
930,761,144,129,0,0,0,0,848,699,144,84,simulation08778.png,none
945,755,205,127,1065,487,140,107,915,704,107,134,simulation01000.png,none
841,849,137,120,0,0,0,0,635,671,182,123,simulation08795.png,none
755,699,174,127,1031,506,151,94,889,726,100,124,simulation00739.png,none
785,437,266,246,0,0,0,0,973,743,211,107,simulation08376.png,none
0,0,0,0,1155,668,136,197,1065,725,178,131,simulation08432.png,none
780,948,131,66,0,0,0,0,1426,876,94,66,simulation04829.png,none
828,652,166,136,0,0,0,0,0,0,0,0,simulation08398.png,none
829,650,166,130,0,0,0,0,0,0,0,0,simulation08397.png,none
832,655,167,134,0,0,0,0,0,0,0,0,simulation08400.png,none
794,945,152,72,1128,686,149,162,1109,726,167,121,simulation08448.png,none
789,491,258,190,0,0,0,0,950,735,197,68,simulation08387.png,none
0,0,0,0,1269,766,174,107,1186,940,230,144,simulation00394.png,none
739,852,133,126,0,0,0,0,983,803,117,77,simulation05342.png,none
890,855,158,91,0,0,0,0,1566,701,81,54,simulation03875.png,none
417,549,143,136,1118,563,143,78,1188,684,81,118,simulation00100.png,none
987,776,211,129,0,0,0,0,924,700,104,123,simulation01029.png,none
1175,809,188,80,0,0,0,0,1216,760,41,72,simulation00726.png,none
0,0,0,0,1140,667,143,192,1068,725,168,131,simulation08433.png,none
