hand_min_x,hand_min_y,hand_width,hand_height,handedness,picture_name,grasp
864,710,252,203,left,frame_483.jpg,power
896,766,133,219,left,frame_4094.jpg,power
837,654,239,194,left,frame_9937.jpg,power
983,579,171,171,left,frame_3260.jpg,power
653,437,248,263,left,frame_6822.jpg,power
843,634,250,199,left,frame_10136.jpg,power
1173,687,296,348,left,frame_6523.jpg,power
863,609,204,249,left,frame_10056.jpg,power
1087,398,214,158,left,frame_4911.jpg,power
941,722,197,223,left,frame_10294.jpg,power
689,454,246,241,left,frame_6834.jpg,power
630,432,269,276,left,frame_6814.jpg,power
942,803,240,235,left,frame_9826.jpg,power
596,711,151,220,left,frame_4109.jpg,power
903,810,205,270,left,frame_9804.jpg,power
851,726,162,189,left,frame_4652.jpg,power
875,644,197,214,left,frame_10267.jpg,power
1076,381,233,170,left,frame_4902.jpg,power
854,613,244,182,left,frame_10107.jpg,power
606,641,223,233,left,frame_3681.jpg,power
843,639,234,264,left,frame_717.jpg,power
824,653,224,209,left,frame_10176.jpg,power
1123,743,311,301,left,frame_6533.jpg,power
1078,757,292,305,left,frame_6538.jpg,power
956,779,196,224,left,frame_10340.jpg,power
822,645,215,209,left,frame_10168.jpg,power
1186,347,308,187,left,frame_4884.jpg,power
1198,349,309,190,left,frame_4880.jpg,power
816,647,212,201,left,frame_10161.jpg,power
673,642,202,218,left,frame_3672.jpg,power
846,604,278,183,left,frame_10085.jpg,power
843,644,205,208,left,frame_10260.jpg,power
808,674,222,259,left,frame_9985.jpg,power
1013,700,146,148,left,frame_3272.jpg,power
1045,367,313,199,left,frame_4860.jpg,power
1001,603,178,171,left,frame_3264.jpg,power
830,649,184,215,left,frame_10202.jpg,power
796,707,223,267,left,frame_10018.jpg,power
952,777,197,228,left,frame_10339.jpg,power
833,655,214,255,left,frame_10043.jpg,power
923,713,199,191,left,frame_505.jpg,power
1184,800,276,280,left,frame_722.jpg,power
838,657,210,217,left,frame_10242.jpg,power
