Time,left_none,left_precision,left_power,separator,right_none,right_precision,right_power
0 sec,0,0,0,0,0,0,0
0.06 sec,0,0,0,0,0,0,0
0.08 sec,0,0,0,0,0,0,0
0.1 sec,0,0,0,0,0,0,0
0.12 sec,0,0,0,0,0,0,0
0.14 sec,0,0,0,0,0,0,0
0.16 sec,0,0,0,0,0,0,0
0.18 sec,0,0,0,0,0,0,0
0.2 sec,0,0,0,0,0,0,0
0.22 sec,0,0,0,0,0,0,0
0.24 sec,0,0,0,0,0,0,0
0.26 sec,0,0,0,0,0,0,0
0.28 sec,0,0,0,0,0,0,0
0.3 sec,0,0,0,0,0,0,0
0.32 sec,0,0,0,0,0,0,0
0.34 sec,0,0,0,0,0,0,0
0.36 sec,0,0,0,0,0,0,0
0.38 sec,0,0,0,0,0,0,0
0.4 sec,0,0,0,0,0,0,0
0.42 sec,0,0,0,0,0,0,0
0.44 sec,0,0,0,0,0,0,0
0.46 sec,0,0,0,0,0,0,0
0.48 sec,0,0,0,0,0,0,0
0.5 sec,0,0,0,0,0,0,0
0.52 sec,0,0,0,0,0,0,0
0.54 sec,0,0,0,0,0,0,0
0.56 sec,0,0,0,0,0,0,0
0.58 sec,0,0,0,0,0,0,0
0.6 sec,0,0,0,0,0,0,0
0.62 sec,0,0,0,0,0,0,0
0.64 sec,0,0,0,0,0,0,0
0.66 sec,0,0,0,0,0,0,0
0.68 sec,0,0,0,0,0,0,0
0.7 sec,0,0,0,0,0,0,0
0.72 sec,0,0,0,0,0,0,0
0.74 sec,0,0,0,0,0,0,0
0.76 sec,0,0,0,0,0,0,0
0.78 sec,0,0,0,0,0,0,0
0.8 sec,0,0,0,0,0,0,0
0.82 sec,0,0,0,0,0,0,0
0.84 sec,0,0,0,0,0,0,0
0.86 sec,0,0,0,0,0,0,0
0.88 sec,0,0,0,0,0,0,0
0.9 sec,0,0,0,0,0,0,0
0.92 sec,0,0,0,0,0,0,0
0.94 sec,0,0,0,0,0,0,0
0.96 sec,0,0,0,0,0,0,0
0.98 sec,0,0,0,0,0,0,0
1 sec,0,0,0,0,0,0,0
1.02 sec,0,0,0,0,0,0,0
1.04 sec,0,0,0,0,0,0,0
1.06 sec,0,0,0,0,0,0,0
1.08 sec,0,0,0,0,0,0,0
1.1 sec,0,0,0,0,0,0,0
1.12 sec,0,0,0,0,0,0,0
1.14 sec,0,0,0,0,0,0,0
1.16 sec,0,0,0,0,0,0,0
1.18 sec,0,0,0,0,0,0,0
1.2 sec,0,0,0,0,0,0,0
