hand_min_x,hand_min_y,hand_width,hand_height,object_min_x,object_min_y,object_width,object_height,handedness,picture_name,grasp
864,710,252,203,1009,748,327,357,left,frame_483.jpg,power
896,766,133,219,0,0,0,0,left,frame_4094.jpg,power
837,654,239,194,1050,703,227,436,left,frame_9937.jpg,power
983,579,171,171,1469,928,145,158,left,frame_3260.jpg,power
653,437,248,263,872,1031,76,80,left,frame_6822.jpg,power
843,634,250,199,478,81,184,162,left,frame_10136.jpg,power
1173,687,296,348,0,0,0,0,left,frame_6523.jpg,power
863,609,204,249,437,64,202,127,left,frame_10056.jpg,power
1087,398,214,158,1119,152,178,294,left,frame_4911.jpg,power
941,722,197,223,574,309,199,312,left,frame_10294.jpg,power
689,454,246,241,879,1038,76,81,left,frame_6834.jpg,power
630,432,269,276,872,1022,76,82,left,frame_6814.jpg,power
942,803,240,235,150,137,299,271,left,frame_9826.jpg,power
596,711,151,220,632,663,168,209,left,frame_4109.jpg,power
903,810,205,270,178,161,354,295,left,frame_9804.jpg,power
851,726,162,189,0,0,0,0,left,frame_4652.jpg,power
875,644,197,214,479,254,181,328,left,frame_10267.jpg,power
1076,381,233,170,1123,150,180,289,left,frame_4902.jpg,power
854,613,244,182,72,57,144,113,left,frame_10107.jpg,power
606,641,223,233,0,0,0,0,left,frame_3681.jpg,power
843,639,234,264,1020,733,159,198,left,frame_717.jpg,power
824,653,224,209,234,87,349,171,left,frame_10176.jpg,power
1123,743,311,301,0,0,0,0,left,frame_6533.jpg,power
1078,757,292,305,1350,923,305,230,left,frame_6538.jpg,power
956,779,196,224,1152,812,181,445,left,frame_10340.jpg,power
822,645,215,209,217,84,358,168,left,frame_10168.jpg,power
1186,347,308,187,1311,154,208,298,left,frame_4884.jpg,power
1198,349,309,190,1321,154,211,298,left,frame_4880.jpg,power
816,647,212,201,190,86,366,170,left,frame_10161.jpg,power
673,642,202,218,0,0,0,0,left,frame_3672.jpg,power
846,604,278,183,1145,651,457,448,left,frame_10085.jpg,power
843,644,205,208,433,275,175,338,left,frame_10260.jpg,power
808,674,222,259,1127,707,236,514,left,frame_9985.jpg,power
1013,700,146,148,1359,836,164,221,left,frame_3272.jpg,power
1045,367,313,199,0,0,0,0,left,frame_4860.jpg,power
1001,603,178,171,1455,744,218,202,left,frame_3264.jpg,power
830,649,184,215,1102,672,331,410,left,frame_10202.jpg,power
796,707,223,267,111,84,222,167,left,frame_10018.jpg,power
952,777,197,228,1148,811,182,443,left,frame_10339.jpg,power
833,655,214,255,111,87,223,172,left,frame_10043.jpg,power
923,713,199,191,930,611,195,164,left,frame_505.jpg,power
838,657,210,217,379,340,170,370,left,frame_10242.jpg,power
1137,412,200,168,1128,154,180,299,left,frame_4940.jpg,power
849,626,257,203,80,67,160,133,left,frame_10121.jpg,power
830,644,186,222,1098,670,331,409,left,frame_10207.jpg,power
823,650,213,249,179,240,358,322,left,frame_9954.jpg,power
855,627,246,194,1176,640,319,443,left,frame_10126.jpg,power
991,171,343,255,0,0,0,0,left,frame_6686.jpg,power
872,601,211,239,437,64,204,127,left,frame_10058.jpg,power
819,679,220,258,1134,713,241,508,left,frame_9996.jpg,power
1062,357,313,198,0,0,0,0,left,frame_4862.jpg,power
448,713,189,267,534,650,169,203,left,frame_4117.jpg,power
812,693,206,263,1107,707,288,497,left,frame_10025.jpg,power
695,726,153,223,0,0,0,0,left,frame_4104.jpg,power
836,633,264,200,1159,669,300,379,left,frame_10137.jpg,power
1038,816,170,250,1190,828,106,449,left,frame_10354.jpg,power
447,726,192,256,521,651,169,211,left,frame_4118.jpg,power
981,91,288,261,0,0,0,0,left,frame_6689.jpg,power
829,643,193,224,102,123,107,164,left,frame_10212.jpg,power
772,720,114,185,1851,762,136,184,left,frame_9090.jpg,power
1071,813,184,248,640,546,254,211,left,frame_10364.jpg,power
1104,410,198,158,1109,154,180,298,left,frame_4925.jpg,power
936,775,126,221,0,0,0,0,left,frame_4091.jpg,power
806,675,219,264,1126,709,238,514,left,frame_9984.jpg,power
1091,361,267,177,1133,143,176,281,left,frame_4894.jpg,power
1085,395,218,160,1120,151,178,294,left,frame_4910.jpg,power
824,647,221,218,237,85,350,170,left,frame_10177.jpg,power
811,630,245,210,1116,646,337,420,left,frame_10141.jpg,power
649,441,250,257,872,1029,74,79,left,frame_6821.jpg,power
1181,341,298,193,1346,152,215,285,left,frame_4873.jpg,power
838,651,195,215,502,259,246,252,left,frame_10226.jpg,power
813,649,218,203,196,86,366,169,left,frame_10163.jpg,power
838,655,211,215,384,338,168,368,left,frame_10243.jpg,power
1073,382,238,169,1122,150,178,290,left,frame_4903.jpg,power
531,564,372,333,729,997,100,113,left,frame_6802.jpg,power
655,438,248,260,873,1034,76,84,left,frame_6824.jpg,power
947,724,177,249,593,321,199,303,left,frame_10301.jpg,power
814,674,227,264,1131,712,236,510,left,frame_9995.jpg,power
806,715,238,262,1153,770,223,533,left,frame_10011.jpg,power
863,746,110,151,0,0,0,0,left,frame_4629.jpg,power
918,583,162,190,1500,705,148,101,left,frame_3251.jpg,power
738,630,312,293,736,454,177,279,left,frame_460.jpg,power
896,809,218,271,167,139,334,275,left,frame_9813.jpg,power
811,649,217,203,186,86,367,170,left,frame_10160.jpg,power
926,793,220,278,162,135,324,268,left,frame_9818.jpg,power
785,667,181,214,902,738,146,264,left,frame_701.jpg,power
215,650,231,223,0,0,0,0,left,frame_7006.jpg,power
834,644,211,218,57,119,114,174,left,frame_10189.jpg,power
877,774,137,207,0,0,0,0,left,frame_4095.jpg,power
824,682,217,257,1138,711,252,506,left,frame_9998.jpg,power
911,747,195,234,1116,774,202,440,left,frame_10322.jpg,power
916,793,271,242,144,130,285,259,left,frame_9830.jpg,power
557,441,137,173,0,0,0,0,left,frame_6985.jpg,power
904,810,207,270,182,163,360,283,left,frame_9802.jpg,power
923,769,131,225,0,0,0,0,left,frame_4092.jpg,power
879,622,160,184,0,0,0,0,left,frame_3246.jpg,power
808,676,229,257,1128,714,235,516,left,frame_9976.jpg,power
1040,813,166,250,1188,826,111,441,left,frame_10353.jpg,power
917,705,222,210,1133,716,239,396,left,frame_10287.jpg,power
1008,656,180,159,0,0,0,0,left,frame_3269.jpg,power
714,624,303,315,734,454,175,278,left,frame_458.jpg,power
1147,416,198,165,1136,156,181,297,left,frame_4942.jpg,power
776,484,235,233,917,1033,76,79,left,frame_6847.jpg,power
847,609,281,184,1150,661,457,434,left,frame_10081.jpg,power
1101,407,192,158,1105,155,182,299,left,frame_4931.jpg,power
934,569,167,188,1513,624,198,171,left,frame_3254.jpg,power
841,637,220,256,1156,674,289,483,left,frame_10051.jpg,power
927,372,368,262,0,0,0,0,left,frame_4853.jpg,power
974,789,185,219,1165,820,182,443,left,frame_10344.jpg,power
1035,346,407,321,1348,862,230,277,left,frame_6682.jpg,power
916,744,192,237,1121,775,201,443,left,frame_10317.jpg,power
852,735,184,171,0,0,0,0,left,frame_4650.jpg,power
822,664,220,245,1146,703,236,535,left,frame_9963.jpg,power
842,653,200,210,393,332,168,363,left,frame_10245.jpg,power
966,679,194,184,980,559,203,171,left,frame_524.jpg,power
848,666,248,162,186,230,371,320,left,frame_9934.jpg,power
911,772,130,215,0,0,0,0,left,frame_4093.jpg,power
1054,910,175,170,755,593,59,151,left,frame_10467.jpg,power
822,667,202,272,1116,680,311,452,left,frame_10034.jpg,power
836,646,214,253,428,63,202,126,left,frame_10047.jpg,power
1178,343,289,186,1307,154,205,300,left,frame_4886.jpg,power
827,644,192,225,1102,670,321,410,left,frame_10208.jpg,power
775,446,426,299,0,0,0,0,left,frame_4849.jpg,power
858,623,130,156,1794,915,204,190,left,frame_9151.jpg,power
832,640,185,223,1102,672,332,411,left,frame_10198.jpg,power
846,689,140,190,0,0,0,0,left,frame_3239.jpg,power
841,659,200,216,357,347,170,373,left,frame_10237.jpg,power
921,761,193,234,1120,791,193,435,left,frame_10329.jpg,power
603,474,296,272,872,1011,75,79,left,frame_6807.jpg,power
856,633,238,197,1169,644,301,440,left,frame_10131.jpg,power
817,674,220,261,109,91,218,181,left,frame_10002.jpg,power
682,643,222,216,0,0,0,0,left,frame_3671.jpg,power
1169,676,365,361,1139,845,201,140,left,frame_6526.jpg,power
878,630,152,185,0,0,0,0,left,frame_3245.jpg,power
806,641,217,212,1086,671,375,412,left,frame_10148.jpg,power
1111,349,275,181,1135,141,175,276,left,frame_4892.jpg,power
1091,366,258,174,1130,145,176,282,left,frame_4895.jpg,power
936,771,192,226,1133,803,184,440,left,frame_10335.jpg,power
840,654,199,215,1105,677,306,401,left,frame_10231.jpg,power
832,640,238,227,1153,697,245,488,left,frame_9940.jpg,power
854,620,209,258,1163,647,278,473,left,frame_10054.jpg,power
871,638,152,191,1074,628,195,207,left,frame_3244.jpg,power
846,603,280,187,1146,643,456,466,left,frame_10084.jpg,power
936,770,186,225,1130,801,184,438,left,frame_10334.jpg,power
540,639,231,256,0,0,0,0,left,frame_3694.jpg,power
1004,852,139,142,0,0,0,0,left,frame_4146.jpg,power
900,582,208,238,1168,628,356,475,left,frame_10062.jpg,power
633,707,159,238,658,672,166,214,left,frame_4107.jpg,power
919,759,193,232,1117,789,196,438,left,frame_10328.jpg,power
1112,344,304,201,1216,129,185,255,left,frame_4866.jpg,power
1098,408,190,182,1105,155,180,299,left,frame_4934.jpg,power
1126,707,374,339,0,0,0,0,left,frame_6530.jpg,power
819,648,216,249,1130,678,275,492,left,frame_9955.jpg,power
963,729,307,287,1247,897,225,325,left,frame_725.jpg,power
838,640,224,225,1148,686,249,501,left,frame_9941.jpg,power
833,642,200,208,1112,663,353,386,left,frame_10256.jpg,power
805,633,223,213,1085,664,376,412,left,frame_10146.jpg,power
855,615,245,182,1127,603,287,260,left,frame_10092.jpg,power
612,450,283,278,872,1015,74,81,left,frame_6809.jpg,power
613,641,225,233,0,0,0,0,left,frame_3680.jpg,power
732,630,292,304,735,454,176,278,left,frame_459.jpg,power
937,723,199,230,576,312,200,310,left,frame_10295.jpg,power
684,634,324,321,735,454,178,279,left,frame_456.jpg,power
843,659,203,214,371,345,166,375,left,frame_10240.jpg,power
759,841,120,220,966,808,219,285,left,frame_7789.jpg,power
765,839,113,213,0,0,0,0,left,frame_7790.jpg,power
624,436,274,272,871,1019,75,83,left,frame_6812.jpg,power
587,481,308,292,872,1011,76,82,left,frame_6806.jpg,power
960,779,192,227,1155,814,182,444,left,frame_10341.jpg,power
942,565,167,191,1517,632,213,177,left,frame_3255.jpg,power
847,669,153,194,1448,749,134,137,left,frame_3241.jpg,power
830,640,213,225,1108,674,367,405,left,frame_10184.jpg,power
480,671,516,409,0,0,0,0,left,frame_4844.jpg,power
818,416,413,294,0,0,0,0,left,frame_4850.jpg,power
602,644,222,236,0,0,0,0,left,frame_3682.jpg,power
898,672,221,219,532,265,190,316,left,frame_10278.jpg,power
857,613,245,162,72,57,145,114,left,frame_10109.jpg,power
852,626,251,196,83,68,165,134,left,frame_10122.jpg,power
935,721,199,210,560,303,200,311,left,frame_10291.jpg,power
1100,343,302,200,1222,129,189,255,left,frame_4865.jpg,power
759,737,108,187,1854,786,130,264,left,frame_9088.jpg,power
942,694,273,282,1174,815,185,219,left,frame_723.jpg,power
811,672,219,259,39,58,77,116,left,frame_9988.jpg,power
1098,411,196,185,1105,155,181,299,left,frame_4935.jpg,power
890,584,212,241,1167,628,346,475,left,frame_10061.jpg,power
934,768,186,227,1128,800,185,434,left,frame_10333.jpg,power
921,584,234,227,68,52,136,103,left,frame_10067.jpg,power
866,748,104,144,0,0,0,0,left,frame_4631.jpg,power
801,633,237,206,1084,660,374,416,left,frame_10145.jpg,power
807,680,225,260,1129,718,236,511,left,frame_9977.jpg,power
866,645,205,211,469,259,176,332,left,frame_10265.jpg,power
689,641,239,223,0,0,0,0,left,frame_3670.jpg,power
629,641,225,230,639,642,160,178,left,frame_3678.jpg,power
1022,741,131,142,1362,873,212,226,left,frame_3275.jpg,power
923,688,200,187,938,577,203,173,left,frame_518.jpg,power
1072,384,237,166,1122,150,177,292,left,frame_4905.jpg,power
835,638,183,221,63,122,123,171,left,frame_10196.jpg,power
940,725,202,235,580,313,199,305,left,frame_10296.jpg,power
854,627,252,199,78,64,157,127,left,frame_10120.jpg,power
